n_threshold,feature,quarter,psi,psi_delta_from_unconditional,n_players,n_matches
5,faction,2023-Q1,0.010625,0.001198,69005,2940367
5,faction,2023-Q2,0.096074,0.026452,69005,2409992
5,faction,2023-Q3,0.454366,0.202256,69005,2124952
5,faction,2023-Q4,0.83949,0.388964,69005,2083082
5,faction,2024-Q1,0.701336,0.306694,69005,1989901
5,faction,2024-Q2,0.774446,0.34071,69005,1835477
5,faction,2024-Q3,0.808379,0.357941,69005,1721562
5,faction,2024-Q4,0.865556,0.383142,69005,1709394
10,faction,2023-Q1,0.010657,0.00123,54113,2814464
10,faction,2023-Q2,0.095554,0.025932,54113,2293828
10,faction,2023-Q3,0.452331,0.200221,54113,2026077
10,faction,2023-Q4,0.8358,0.385274,54113,1984879
10,faction,2024-Q1,0.698715,0.304073,54113,1889763
10,faction,2024-Q2,0.773001,0.339265,54113,1739932
10,faction,2024-Q3,0.812416,0.361978,54113,1631702
10,faction,2024-Q4,0.868225,0.385811,54113,1620463
20,faction,2023-Q1,0.010585,0.001158,38349,2594474
20,faction,2023-Q2,0.095013,0.025391,38349,2096864
20,faction,2023-Q3,0.447418,0.195308,38349,1848855
20,faction,2023-Q4,0.832814,0.382288,38349,1811087
20,faction,2024-Q1,0.698669,0.304027,38349,1717514
20,faction,2024-Q2,0.77747,0.343734,38349,1578753
20,faction,2024-Q3,0.810866,0.360428,38349,1474008
20,faction,2024-Q4,0.864862,0.382448,38349,1466663
