patch_number,civ,n_matches,win_rate
66692,aztecs,3883,0.47901107391192377
66692,bengalis,719,0.4659248956884562
66692,berbers,3497,0.5278810408921933
66692,bohemians,2000,0.5045
66692,britons,6746,0.46887044174325526
66692,bulgarians,3311,0.49773482331621866
66692,burgundians,2906,0.4986235375086029
66692,burmese,1202,0.4650582362728785
66692,byzantines,4196,0.49308865586272643
66692,celts,2591,0.49633346198379
66692,chinese,2422,0.4578860445912469
66692,cumans,3246,0.4984596426370918
66692,dravidians,947,0.4963041182682154
66692,ethiopians,5482,0.4932506384531193
66692,franks,11281,0.5263717755518128
66692,goths,3699,0.49580967829143013
66692,gurjaras,2632,0.5516717325227963
66692,hindustanis,4332,0.5480147737765466
66692,huns,3921,0.5057383320581484
66692,incas,1651,0.46698970321017563
66692,italians,2339,0.49294570329200516
66692,japanese,2899,0.4849948258020007
66692,khmer,3802,0.48316675433982115
66692,koreans,1887,0.4546899841017488
66692,lithuanians,5122,0.5294806716126513
66692,magyars,5890,0.5062818336162989
66692,malay,1509,0.4638833664678595
66692,malians,1763,0.4826999432785026
66692,mayans,4739,0.47140746993036503
66692,mongols,6062,0.49455625206202575
66692,persians,2640,0.4893939393939394
66692,poles,4773,0.5472449193379426
66692,portuguese,2525,0.49425742574257425
66692,saracens,2512,0.4880573248407643
66692,sicilians,1592,0.4886934673366834
66692,slavs,1842,0.4837133550488599
66692,spanish,4580,0.5181222707423581
66692,tatars,2283,0.4682435392028033
66692,teutons,4082,0.513718765311122
66692,turks,3694,0.5062263129399025
66692,vietnamese,2456,0.4543973941368078
66692,vikings,3013,0.5157650182542317
73855,aztecs,9093,0.4786099197184647
73855,bengalis,2037,0.48159057437407954
73855,berbers,8582,0.5346073176415754
73855,bohemians,4720,0.5023305084745763
73855,britons,17825,0.4729312762973352
73855,bulgarians,8124,0.5118168389955687
73855,burgundians,7632,0.5106132075471698
73855,burmese,3742,0.4820951362907536
73855,byzantines,10915,0.4818140174072377
73855,celts,6363,0.49206349206349204
73855,chinese,7136,0.4513733183856502
73855,cumans,9123,0.49380686177792393
73855,dravidians,2525,0.5005940594059406
73855,ethiopians,12951,0.4954057601729596
73855,franks,31407,0.5252332282612157
73855,goths,9827,0.4902818764628066
73855,gurjaras,5352,0.5381165919282511
73855,hindustanis,11474,0.5508976817151822
73855,huns,11111,0.4910449104491045
73855,incas,4012,0.48280159521435695
73855,italians,6441,0.48098121409718986
73855,japanese,7554,0.49007148530579825
73855,khmer,10318,0.4722814498933902
73855,koreans,4718,0.46311996608732514
73855,lithuanians,15802,0.5153145171497279
73855,magyars,14565,0.5043597665636801
73855,malay,4363,0.4668805867522347
73855,malians,5584,0.5077005730659025
