patch_number,patch_label,release_date,total_games
66692,66692 8/29,2022-08-29,-1.0
73855,73855 12/7,2022-12-07,-1.0
78174,78174 3/7,2023-03-07,1004230.0
81058,81058 4/11,2023-04-11,565989.0
82587,82587 4/27,2023-04-27,635716.0
83607,83607 5/16,2023-05-16,1319327.0
87863,87863 6/27,2023-06-27,1890144.0
93001,93001 9/6,2023-09-06,1601030.0
95810,95810 10/31,2023-10-31,1270670.0
99311,99311 12/11,2023-12-11,2352666.0
104954,104954 2/22,2024-02-22,632835.0
107882,107882 3/14,2024-03-14,1592173.0
111772,111772 5/1,2024-05-01,3720116.0
125283,125283 10/14,2024-10-14,5684974.0
141935,141935 4/10,2025-04-10,782569.0
143421,143421 5/7,2025-05-07,2188996.0
147949,147949 6/25,2025-06-25,3045391.0
153015,153015 8/12,2025-08-12,3225748.0
162286,162286 12/2,2025-12-02,1787254.0
