civ,patch_from,patch_to,delta_win_rate,flagged_ge_5pp
aztecs,66692,73855,0.0004,False
aztecs,73855,78174,0.0092,False
aztecs,78174,81058,0.0086,False
aztecs,81058,82587,0.0008,False
aztecs,82587,83607,0.0049,False
aztecs,83607,87863,0.0052,False
aztecs,87863,93001,0.0016,False
aztecs,93001,95810,0.0008,False
aztecs,95810,99311,0.0008,False
aztecs,99311,104954,0.0083,False
aztecs,104954,107882,0.0027,False
aztecs,107882,111772,0.0078,False
aztecs,111772,125283,0.002,False
aztecs,125283,141935,0.017,False
aztecs,141935,143421,0.0024,False
aztecs,143421,147949,0.0048,False
aztecs,147949,153015,0.0046,False
aztecs,153015,162286,0.0055,False
bengalis,66692,73855,0.0157,False
bengalis,73855,78174,0.0089,False
bengalis,78174,81058,0.0013,False
bengalis,81058,82587,0.0132,False
bengalis,82587,83607,0.0107,False
bengalis,83607,87863,0.0054,False
bengalis,87863,93001,0.0006,False
bengalis,93001,95810,0.0069,False
bengalis,95810,99311,0.0042,False
bengalis,99311,104954,0.0046,False
bengalis,104954,107882,0.0068,False
bengalis,107882,111772,0.02,False
bengalis,111772,125283,0.0111,False
bengalis,125283,141935,0.0215,False
bengalis,141935,143421,0.0018,False
bengalis,143421,147949,0.0072,False
bengalis,147949,153015,0.0002,False
bengalis,153015,162286,0.0044,False
berbers,66692,73855,0.0067,False
berbers,73855,78174,0.0065,False
berbers,78174,81058,0.0154,False
berbers,81058,82587,0.0058,False
berbers,82587,83607,0.004,False
berbers,83607,87863,0.0023,False
berbers,87863,93001,0.0093,False
berbers,93001,95810,0.0042,False
berbers,95810,99311,0.0014,False
berbers,99311,104954,0.0136,False
berbers,104954,107882,0.0107,False
berbers,107882,111772,0.0053,False
berbers,111772,125283,0.0034,False
berbers,125283,141935,0.0054,False
berbers,141935,143421,0.0104,False
berbers,143421,147949,0.0032,False
berbers,147949,153015,0.0028,False
berbers,153015,162286,0.0029,False
bohemians,66692,73855,0.0022,False
bohemians,73855,78174,0.0117,False
bohemians,78174,81058,0.0055,False
bohemians,81058,82587,0.0031,False
bohemians,82587,83607,0.0029,False
bohemians,83607,87863,0.0066,False
bohemians,87863,93001,0.0412,False
bohemians,93001,95810,0.0107,False
bohemians,95810,99311,0.0304,False
bohemians,99311,104954,0.0021,False
bohemians,104954,107882,0.0035,False
bohemians,107882,111772,0.0051,False
bohemians,111772,125283,0.0199,False
bohemians,125283,141935,0.0073,False
bohemians,141935,143421,0.0092,False
bohemians,143421,147949,0.001,False
bohemians,147949,153015,0.0043,False
bohemians,153015,162286,0.0018,False
britons,66692,73855,0.0041,False
britons,73855,78174,0.0018,False
britons,78174,81058,0.0033,False
britons,81058,82587,0.0045,False
britons,82587,83607,0.0028,False
britons,83607,87863,0.0071,False
britons,87863,93001,0.0039,False
britons,93001,95810,0.0022,False
britons,95810,99311,0.004,False
britons,99311,104954,0.0127,False
britons,104954,107882,0.0037,False
britons,107882,111772,0.0053,False
britons,111772,125283,0.0073,False
britons,125283,141935,0.0133,False
britons,141935,143421,0.0075,False
britons,143421,147949,0.0048,False
britons,147949,153015,0.0046,False
britons,153015,162286,0.0005,False
bulgarians,66692,73855,0.0141,False
bulgarians,73855,78174,0.0034,False
bulgarians,78174,81058,0.0032,False
bulgarians,81058,82587,0.0039,False
bulgarians,82587,83607,0.0048,False
bulgarians,83607,87863,0.0041,False
bulgarians,87863,93001,0.0029,False
bulgarians,93001,95810,0.0001,False
bulgarians,95810,99311,0.0036,False
bulgarians,99311,104954,0.0027,False
bulgarians,104954,107882,0.0044,False
bulgarians,107882,111772,0.0021,False
bulgarians,111772,125283,0.003,False
bulgarians,125283,141935,0.0244,False
bulgarians,141935,143421,0.0,False
bulgarians,143421,147949,0.0035,False
bulgarians,147949,153015,0.0003,False
bulgarians,153015,162286,0.0107,False
burgundians,66692,73855,0.012,False
burgundians,73855,78174,0.0198,False
burgundians,78174,81058,0.0077,False
burgundians,81058,82587,0.0055,False
burgundians,82587,83607,0.0025,False
burgundians,83607,87863,0.0127,False
burgundians,87863,93001,0.0081,False
burgundians,93001,95810,0.0043,False
burgundians,95810,99311,0.0039,False
burgundians,99311,104954,0.0082,False
burgundians,104954,107882,0.0035,False
burgundians,107882,111772,0.0022,False
burgundians,111772,125283,0.0169,False
burgundians,125283,141935,0.0029,False
burgundians,141935,143421,0.0022,False
burgundians,143421,147949,0.0148,False
burgundians,147949,153015,0.0044,False
