dataset_tag,period_tag,feature_name,metric_name,metric_value,n,notes
sc2egset,2023-Q1,duration_seconds,mean,771.8192,1040,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q1,duration_seconds,median,673.0,1040,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q1,duration_seconds,p5,392.85,1040,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q1,duration_seconds,p95,1489.65,1040,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q1,duration_seconds,iqr,318.75,1040,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q1,duration_seconds,sd,358.8369,1040,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q1,duration_seconds,suspicious_rate,0.0,1040,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,mean,716.1791,2792,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,median,655.5,2792,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,p5,333.55,2792,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,p95,1298.9,2792,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,iqr,347.0,2792,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,sd,346.7521,2792,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,suspicious_rate,0.0,2792,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,mean,928.3033,488,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,median,818.5,488,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,p5,401.0,488,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,p95,2123.0,488,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,iqr,461.0,488,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,sd,528.5907,488,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,suspicious_rate,0.0,488,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q4,duration_seconds,mean,785.372,2688,[SC2EGSET-POST-GAME];[POP:tournament]
