quarter,n_player_rows,n_matches,n_players,dataset_tag
2016-Q1,990,495,96,sc2egset
2016-Q3,120,60,16,sc2egset
2017-Q1,808,404,111,sc2egset
2017-Q2,1386,693,128,sc2egset
2017-Q3,826,413,106,sc2egset
2017-Q4,852,426,67,sc2egset
2018-Q1,2136,1068,227,sc2egset
2018-Q2,1416,708,117,sc2egset
2018-Q3,1756,878,203,sc2egset
2018-Q4,976,488,74,sc2egset
2019-Q1,2346,1173,202,sc2egset
2019-Q2,1830,915,117,sc2egset
2019-Q3,2642,1321,195,sc2egset
2019-Q4,856,428,56,sc2egset
2020-Q1,862,431,80,sc2egset
2020-Q2,1744,872,124,sc2egset
2020-Q3,2596,1298,128,sc2egset
2020-Q4,456,228,44,sc2egset
2021-Q1,1200,600,136,sc2egset
2021-Q2,1690,845,107,sc2egset
2021-Q3,2126,1063,157,sc2egset
2021-Q4,2638,1319,195,sc2egset
2022-Q1,694,347,65,sc2egset
2022-Q2,1396,698,83,sc2egset
2022-Q3,1642,821,183,sc2egset
2022-Q4,2844,1422,188,sc2egset
2023-Q1,520,260,36,sc2egset
2023-Q2,1396,698,130,sc2egset
2023-Q3,244,122,22,sc2egset
2023-Q4,1344,672,122,sc2egset
2024-Q1,374,187,24,sc2egset
2024-Q2,874,437,72,sc2egset
2024-Q3,496,248,35,sc2egset
2024-Q4,342,171,24,sc2egset
