quarter,n_active,n_total_in_window,fraction_active,dataset_tag
2022-Q3,183,679,0.2695139911634757,sc2egset
2022-Q4,188,679,0.2768777614138439,sc2egset
2023-Q1,36,679,0.053019145802650956,sc2egset
2023-Q2,130,679,0.19145802650957292,sc2egset
2023-Q3,22,679,0.03240058910162003,sc2egset
2023-Q4,122,679,0.1796759941089838,sc2egset
2024-Q1,24,679,0.035346097201767304,sc2egset
2024-Q2,72,679,0.10603829160530191,sc2egset
2024-Q3,35,679,0.05154639175257732,sc2egset
2024-Q4,24,679,0.035346097201767304,sc2egset
